,US ICD9,System,Description
0,784,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
1,7842,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
2,793,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
3,7930,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
4,7931,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
5,79311,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
6,79319,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
7,7932,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
8,7933,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
9,7934,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
10,7935,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
11,7936,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
12,7937,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
13,7938,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
14,79380,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
15,79381,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
16,79382,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
17,79389,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
18,7939,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
19,79391,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
20,79399,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
21,794,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
22,7940,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
23,79400,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
24,79401,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
25,79402,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
26,79409,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
27,7941,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
28,79410,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
29,79411,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
30,79412,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
31,79413,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
32,79414,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
33,79415,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
34,79416,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
35,79417,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
36,79419,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
37,7942,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
38,7943,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
39,79430,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
40,79431,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
41,79439,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
42,7944,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
43,7945,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
44,7946,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
45,7947,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
46,7948,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
47,7949,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
48,771,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
49,7718,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
50,77183,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
51,790,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
52,7900,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
53,79001,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
54,79009,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
55,7901,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
56,7902,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
57,79021,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
58,79022,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
59,79029,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
60,7903,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
61,7904,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
62,7905,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
63,7906,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
64,7907,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
65,7909,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
66,79091,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
67,79092,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
68,79095,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
69,79099,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
70,795,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
71,7955,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
72,79551,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
73,79552,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
74,7956,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
75,7957,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
76,79571,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
77,79579,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
78,792,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
79,7920,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
80,7922,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
81,7924,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
82,7925,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
83,7929,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
84,795,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
85,7950,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
86,79500,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
87,79501,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
88,79502,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
89,79503,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
90,79504,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
91,79505,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
92,79506,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
93,79507,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
94,79508,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
95,79509,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
96,7951,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
97,79510,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
98,79511,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
99,79512,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
100,79513,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
101,79514,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
102,79515,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
103,79516,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
104,79518,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
105,79519,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
106,7952,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
107,7953,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
108,79531,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
109,79539,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
110,7954,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
111,796,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
112,7960,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
113,7967,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
114,79670,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
115,79671,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
116,79672,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
117,79673,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
118,79674,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
119,79675,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
120,79676,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
121,79677,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
122,79678,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
123,79679,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
124,593,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
125,5936,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
126,791,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
127,7910,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
128,7911,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
129,7912,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
130,7913,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
131,7914,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
132,7915,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
133,7916,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
134,7917,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
135,7919,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
136,796,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
137,7960,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
138,020,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
139,0200,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
140,0201,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
141,0202,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
142,0203,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
143,0204,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
144,0205,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
145,0208,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
146,0209,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
147,021,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
148,0210,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
149,0211,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
150,0212,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
151,0213,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
152,0218,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
153,0219,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
154,022,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
155,0220,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
156,0221,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
157,0222,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
158,0223,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
159,0228,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
160,0229,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
161,023,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
162,0230,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
163,0231,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
164,0232,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
165,0233,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
166,0238,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
167,0239,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
168,024,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
169,025,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
170,026,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
171,0260,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
172,0261,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
173,0269,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
174,027,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
175,0271,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
176,0272,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
177,0278,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
178,0279,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
179,078,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
180,0783,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
181,100,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
182,1000,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
183,1008,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
184,10081,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
185,10089,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
186,1009,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
187,484,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
188,4845,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
189,995,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
190,9959,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
191,99591,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
192,054,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
193,0541,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
194,05410,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
195,05411,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
196,05412,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
197,05413,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
198,05419,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
199,078,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
200,0781,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
201,07811,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
202,090,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
203,0900,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
204,0901,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
205,0902,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
206,0903,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
207,0904,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
208,09040,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
209,09041,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
210,09042,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
211,09049,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
212,0905,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
213,0906,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
214,0907,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
215,0909,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
216,091,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
217,0910,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
218,0911,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
219,0912,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
220,0913,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
221,0914,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
222,0915,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
223,09150,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
224,09151,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
225,09152,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
226,0916,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
227,09161,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
228,09162,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
229,09169,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
230,0917,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
231,0918,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
232,09181,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
233,09182,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
234,09189,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
235,0919,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
236,092,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
237,0920,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
238,0929,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
239,093,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
240,0930,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
241,0931,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
242,0932,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
243,09320,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
244,09321,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
245,09322,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
246,09323,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
247,09324,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
248,0938,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
249,09381,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
250,09382,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
251,09389,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
252,0939,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
253,094,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
254,0940,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
255,0941,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
256,0942,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
257,0943,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
258,0948,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
259,09481,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
260,09482,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
261,09483,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
262,09484,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
263,09485,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
264,09486,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
265,09487,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
266,09489,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
267,0949,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
268,095,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
269,0950,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
270,0951,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
271,0952,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
272,0953,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
273,0954,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
274,0955,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
